what,kind,bundleId,bundleVersion,description,time
resolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319373829223
installed,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373829224
resolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373829300
started,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373829301
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319373833228
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319373833385
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319373833444
stopped,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373834237
unresolved,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373834237
uninstalled,bundle,org.bazinga.Model,1.0.0.qualifier,"org.bazinga.Model",1319373834237
unresolved,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319373834312
uninstalled,bundle,BAZINGA_app,0.1.0,"BAZINGA_app",1319373834312
activated,editor,org.eclipse.acceleo.ide.ui,3.1.1.v20110914-0246,"org.eclipse.acceleo.ide.ui.editors.template.AcceleoEditor",1319373838921
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319373838921
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1319373843367
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319373843508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1319373843552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1319373844287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319373844591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1319373846057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1319373846319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319373847324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319373852144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319373852974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1319373859423
